"","Freq","sex","method","age","age.group","method2"
"1","7658","Added","Books","Titles","Titles Added","2017"
"2","2073","Withdrawn","Books","Titles","Titles Withdrawn","2017"
"3","7894","Added","Books","Volumes","Volumes Added","2017"
"4","4244","Withdrawn","Books","Volumes","Volumes Withdrawn","2017"
"5","27","Added","Documents","Titles","Titles Added","2017"
"6","165","Added","Documents","Volumes","Volumes Added","2017"
"7","1495","Added","eBooks","Titles","Titles Added","2017"
"8","1557","Added","eBooks","Volumes","Volumes Added","2017"
"9","8","Added","eDocuments","Titles","Titles Added","2017"
"10","8","Added","eDocuments","Volumes","Volumes Added","2017"
"11","1","Added","eSerials","Titles","Titles Added","2017"
"12","1","Added","eSerials","Volumes","Volumes Added","2017"
"13","79","Added","Media","Titles","Titles Added","2017"
"14","10","Withdrawn","Media","Titles","Titles Withdrawn","2017"
"15","132","Added","Media","Volumes","Volumes Added","2017"
"16","37","Withdrawn","Media","Volumes","Volumes Withdrawn","2017"
"17","37","Added","Other","Titles","Titles Added","2017"
"18","37","Added","Other","Volumes","Volumes Added","2017"
"19","24","Added","Serials","Titles","Titles Added","2017"
"20","559","Withdrawn","Serials","Titles","Titles Withdrawn","2017"
"21","1067","Added","Serials","Volumes","Volumes Added","2017"
"22","16033","Withdrawn","Serials","Volumes","Volumes Withdrawn","2017"
"23","8574","Added","Books","Titles","Titles Added","2018"
"24","1641","Withdrawn","Books","Titles","Titles Withdrawn","2018"
"25","8976","Added","Books","Volumes","Volumes Added","2018"
"26","1793","Withdrawn","Books","Volumes","Volumes Withdrawn","2018"
"27","86","Added","Documents","Titles","Titles Added","2018"
"28","40","Withdrawn","Documents","Titles","Titles Withdrawn","2018"
"29","56","Added","Documents","Volumes","Volumes Added","2018"
"30","2624","Withdrawn","Documents","Volumes","Volumes Withdrawn","2018"
"31","679","Added","eBooks","Titles","Titles Added","2018"
"32","5269","Withdrawn","eBooks","Titles","Titles Withdrawn","2018"
"33","679","Added","eBooks","Volumes","Volumes Added","2018"
"34","5269","Withdrawn","eBooks","Volumes","Volumes Withdrawn","2018"
"35","1","Added","eDocuments","Titles","Titles Added","2018"
"36","1","Added","eDocuments","Volumes","Volumes Added","2018"
"37","297","Withdrawn","eMedia","Titles","Titles Withdrawn","2018"
"38","297","Withdrawn","eMedia","Volumes","Volumes Withdrawn","2018"
"39","1034","Added","eSerials","Titles","Titles Added","2018"
"40","1034","Added","eSerials","Volumes","Volumes Added","2018"
"41","113","Added","Media","Titles","Titles Added","2018"
"42","3534","Withdrawn","Media","Titles","Titles Withdrawn","2018"
"43","182","Added","Media","Volumes","Volumes Added","2018"
"44","3595","Withdrawn","Media","Volumes","Volumes Withdrawn","2018"
"45","302","Added","Other","Titles","Titles Added","2018"
"46","2","Withdrawn","Other","Titles","Titles Withdrawn","2018"
"47","302","Added","Other","Volumes","Volumes Added","2018"
"48","2","Withdrawn","Other","Volumes","Volumes Withdrawn","2018"
"49","38","Added","Serials","Titles","Titles Added","2018"
"50","283","Withdrawn","Serials","Titles","Titles Withdrawn","2018"
"51","851","Added","Serials","Volumes","Volumes Added","2018"
"52","4154","Withdrawn","Serials","Volumes","Volumes Withdrawn","2018"
